id,source,date,reviewer,rating_context,summary_paraphrased,theme_tag,sentiment,helpful_votes,source_url
133,Google Play Store,"2025-09-26 (approx, image date 2024-11-13)",schlauhonk,negative review,"Reviewer reports a homescreen redesign removed most previously diverse suggested-playlist content (e.g. 'Made for You' sections), leaving only recently played items and unwanted autoplay snippets, with no way to disable the new format.",product_change_complaint,negative,315,play_store_spotify_reviews
134,Google Play Store,09-06-2025,kristina249,negative/neutral review,"Reviewer expected 'Go to song radio' to surface genre/tempo-similar tracks but found it instead shuffles generic new releases, suggesting a mismatch between expected and actual recommendation logic for that specific feature.",algorithm_mechanics_question,neutral,70,play_store_spotify_reviews
135,Google Play Store,29-10-2025,Matthew Poworoznek,neutral/constructive review,"Reviewer requests a true 'dislike' button distinct from the existing 'hide' function, arguing hidden songs still occupy playlist slots and the lack of negative feedback granularity limits the algorithm's ability to improve recommendations; also flags an unrelated DJ playback issue.",product_gap_feedback_loop,negative,1095,play_store_spotify_reviews
136,Google Play Store,30-09-2024,Ruben Strooh (DJ Rubicon),mixed review,"Reviewer is largely satisfied but specifically asks for an option to disable 'Smart Shuffle' when shuffling personal playlists, saying the existing Radio feature already adequately covers new-music discovery and that forced discovery-mixing into personal playlist shuffle is unwanted.",product_gap_control,neutral,884,play_store_spotify_reviews
137,Google Play Store,30-11-2025,Aiden Smith,negative review,"Reviewer without premium reports their playlist surfaces 'a bunch of the same people over and over' on shuffle, calling it annoying alongside other free-tier playback restrictions.",repetition,negative,215,play_store_spotify_reviews
138,Google Play Store,07-03-2025,Alissa Troidl,negative review,"Reviewer states Spotify's 'Shuffle' functions more like a fixed playlist order than genuine randomization, noting that manually queueing a song doesn't update the underlying shuffle order, leading to possible immediate repeats.",shuffle_quality,negative,40,play_store_spotify_reviews
139,Google Play Store,28-03-2025,Kathy,negative review (paid),"Premium subscriber reports shuffle quality has degraded, now surfacing the same songs and artists repeatedly in sequence, undermining the core purpose of shuffle as a variety mechanism.",shuffle_quality,negative,192,play_store_spotify_reviews
140,Google Play Store,09-11-2024,Elizabeth Blake,negative review,"Reviewer claims that regardless of playlist size (cites a 4,000-song example), the app consistently defaults to replaying only the top ~40 most-played tracks, leaving the vast majority of a personal library effectively unheard.",algorithm_overfitting,negative,47,play_store_spotify_reviews
141,Google Play Store,24-10-2024,ryan colon (ryodude101),negative review (long-time user),"Long-time user reports a broken shuffle feature as one of several technical/quality regressions experienced over years of use, alongside performance complaints.",shuffle_quality,negative,85,play_store_spotify_reviews
142,Google Play Store,18-07-2025,Conlan Parkman,negative review,"Reviewer says the app frequently recommends music they actively dislike via what they describe as an unpredictable algorithm, citing this alongside other concerns as reasons for planning to leave the platform.",algorithm_inaccuracy,negative,462,play_store_spotify_reviews
143,Google Play Store,16-04-2025,L.J. Turner,mixed review (recommends premium),"Reviewer notes Discover Weekly performance is inconsistent ('hit or miss') even on premium, while otherwise praising the platform's library and offline features; separately criticizes recent AI-related additions.",algorithm_inconsistency,neutral,854,play_store_spotify_reviews
144,Google Play Store,08-04-2025,unforseen consequenses,negative review,"Reviewer states the recommendation algorithm frequently suggests content that is the opposite of what they actually listen to, and separately criticizes AI-generated playlist curation as low quality.",algorithm_inaccuracy,negative,52,play_store_spotify_reviews
145,Google Play Store,13-04-2026,Aravind AB,negative review,"Reviewer acknowledges a strong music library but cites a newly introduced 6-skips-per-day limit (free tier) as a primary reason they are close to discontinuing use, framing restricted skip access as incompatible with relaxed listening.",product_gap_control,negative,23,play_store_spotify_reviews
146,Google Play Store,21-04-2026,Catherine Hempel,negative/mixed review (paid),"Free-tier reviewer objects to skip limits and especially to unsolicited recommendation insertions into a manually curated playlist, explicitly stating they don't want automated additions to a playlist they built themselves; notes they eventually paid for premium but considers it barely worth the cost.",algorithm_overreach_into_playlists,negative,22,play_store_spotify_reviews
147,Google Play Store,25-09-2025,timi seriki,negative review (tangential),"Reviewer's complaint centers on lost downloaded files, but separately the broader thread context reinforces a perception of declining reliability in core library/playlist features.",reliability_context,negative,413,play_store_spotify_reviews
148,Google Play Store,09-06-2026,Shubi Mittal,negative review,"Reviewer specifically objects to the app inserting unrequested songs into a self-made playlist, asking rhetorically what the point of manual curation is if the system overrides it; cites this as a reason they may switch platforms.",algorithm_overreach_into_playlists,negative,2,play_store_spotify_reviews
